event,points,total_points,rank,rank_sort,overall_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,id
1,76,76,1415084,1615403,1415084,5,1000,0,0,3,6628862
2,45,117,4480805,4504089,2899420,14,1002,2,4,2,6628862
3,63,176,512587,527608,1258116,32,1005,2,4,5,6628862
4,84,260,1439976,1492363,666287,20,1007,1,0,7,6628862
5,43,303,5508835,5613707,803583,13,1009,1,0,4,6628862
6,82,385,1598865,1640747,505387,23,1010,1,0,6,6628862
7,38,423,7687800,7737231,1242976,16,1010,1,0,4,6628862
8,63,486,652685,678010,532402,4,1013,0,0,14,6628862
9,88,574,1068592,1119936,349397,4,1020,0,0,2,6628862
10,65,639,5765837,5808416,423416,1,1020,2,0,2,6628862
11,23,662,8628928,8688699,606674,8,1027,1,0,1,6628862
12,93,755,155903,165627,234101,2,1030,1,0,15,6628862
13,53,808,2448282,2507821,186325,1,1036,1,0,2,6628862
14,63,871,2467663,2529038,170327,7,1040,1,0,1,6628862
15,34,905,5628309,5718390,185759,8,1039,1,0,0,6628862
16,59,964,1328985,1368452,129317,18,1041,1,0,1,6628862
17,75,1035,134466,142251,66119,87,1048,2,4,1,6628862
18,47,1082,2224564,2287345,68656,87,1055,0,0,18,6628862
19,39,1121,4810399,4887819,81866,50,1057,1,0,10,6628862
1,67,67,3683786,3722397,3683786,0,1000,0,0,3,1207900
2,54,121,1855611,1871623,2185508,0,1001,1,0,2,1207900
3,59,176,894080,901588,1245353,0,1002,2,4,2,1207900
4,84,260,1366113,1373887,631616,15,1009,0,0,10,1207900
5,49,309,2794044,2810829,460151,15,1012,0,0,13,1207900
6,45,354,9377739,9379365,2582559,16,1019,1,0,31,1207900
7,69,423,956315,958984,1219338,14,1023,2,0,9,1207900
8,43,466,5301110,5313219,1404080,12,1025,1,0,8,1207900
9,87,553,1200228,1214930,935879,12,1027,0,0,9,1207900
10,69,622,4424537,4434679,909881,0,1029,2,0,16,1207900
11,26,648,7560794,7582055,1086210,2,1034,1,0,7,1207900
12,73,721,2810178,2821773,1017692,23,1037,1,0,20,1207900
13,60,781,778644,785269,649424,23,1041,0,0,2,1207900
14,65,842,2021048,2023570,629163,6,1036,3,4,5,1207900
15,29,871,7715042,7737405,796655,6,1035,0,0,14,1207900
16,70,941,219663,222787,371617,8,1035,1,0,3,1207900
17,52,993,3206715,3216454,420210,3,1039,1,0,0,1207900
18,55,1048,1003598,1009286,308159,7,1039,2,0,2,1207900
19,52,1100,991157,998646,209146,5,1042,1,0,1,1207900
1,72,72,2372852,2594676,2372852,10,1000,0,0,9,6408907
2,56,128,1384353,1435347,1178821,10,1003,0,0,2,6408907
3,58,186,1023817,1050629,476843,23,1005,2,0,6,6408907
4,73,259,4888836,5005973,689575,31,1008,1,0,6,6408907
5,40,299,6589861,6705402,1022387,31,1006,0,0,2,6408907
6,66,365,5658904,5690847,1650643,42,1004,2,0,1,6408907
7,26,391,9585883,9609434,3647693,42,1005,0,0,3,6408907
8,48,439,3483396,3569936,3319124,0,1001,0,0,3,6408907
9,92,531,655225,688562,1981460,0,1006,0,0,3,6408907
10,66,597,5433832,5474491,2073066,0,1008,2,0,1,6408907
11,32,629,4914720,4995601,2010378,0,1010,1,0,11,6408907
12,94,723,124935,134031,938880,3,1015,1,0,3,6408907
13,46,769,5125783,5204789,1005212,5,1019,1,0,2,6408907
14,69,838,1040383,1076812,718674,9,1021,1,0,11,6408907
15,35,873,5123626,5216279,734696,11,1020,1,0,2,6408907
16,59,932,1328985,1367657,521936,24,1022,1,0,1,6408907
17,67,999,585613,606917,333798,97,1029,1,0,0,6408907
18,55,1054,960219,996219,241153,71,1034,1,0,14,6408907
19,39,1089,4902373,4939291,313861,24,1035,2,4,1,6408907
1,79,79,865905,907110,865905,0,1000,0,0,6,1587233
2,21,100,8909046,8910570,5299355,0,1002,0,0,10,1587233
3,55,147,1571933,1572543,4685507,25,1000,4,8,6,1587233
4,73,220,4888836,4923433,4603179,30,1004,1,0,2,1587233
5,44,260,5192015,5203364,5031426,14,1005,2,4,4,1587233
6,77,337,2524474,2538663,4193689,14,1004,0,0,3,1587233
7,29,362,9386854,9387491,5851255,26,1002,3,4,9,1587233
8,65,427,525962,530066,4312893,27,1004,1,0,1,1587233
9,81,508,2221866,2235841,3461215,23,1006,1,0,1,1587233
10,65,573,5511162,5532592,3577852,2,1006,0,0,2,1587233
11,43,616,1246408,1252482,2829136,5,1012,1,0,9,1587233
12,93,709,155903,159451,1506140,4,1016,1,0,5,1587233
13,51,760,2920264,2941639,1360665,4,1023,0,0,18,1587233
14,67,827,1490904,1501263,1063828,15,1023,2,0,11,1587233
15,43,870,1787551,1806937,831158,15,1025,0,0,3,1587233
16,51,921,2781701,2791066,777491,3,1027,2,0,4,1587233
17,69,986,438418,447645,540366,62,1033,2,4,8,1587233
18,52,1034,1455880,1465058,502485,48,1036,2,4,27,1587233
19,41,1075,4016387,4038286,510859,11,1039,1,0,11,1587233
1,69,69,3163317,3258676,3163317,0,1000,0,0,18,2708901
2,51,120,2461036,2493491,2277634,0,1004,0,0,12,2708901
3,69,189,170684,173205,326639,0,1009,0,0,9,2708901
4,69,258,6510263,6529414,737203,3,1016,2,0,10,2708901
5,30,288,9460147,9473386,1998176,1,1016,1,0,7,2708901
6,67,355,5312167,5339104,2491452,2,1013,1,0,10,2708901
7,65,420,1381173,1391826,1386801,8,1014,1,0,4,2708901
8,54,474,2055579,2072807,974374,0,1016,1,0,6,2708901
9,97,571,316697,327416,400997,2,1017,0,0,6,2708901
10,69,640,4360677,4384834,390009,0,1020,1,0,8,2708901
11,30,670,5828468,5870963,398414,29,1028,1,0,3,2708901
12,64,730,5515234,5531415,726253,52,1029,2,4,3,2708901
13,40,770,7619919,7652101,975545,51,1029,1,0,8,2708901
14,72,842,602267,615022,621397,36,1030,1,0,14,2708901
15,25,867,9178616,9212161,905630,36,1029,0,0,2,2708901
16,59,926,1328985,1350720,646087,50,1027,1,0,1,2708901
17,53,979,3007227,3028277,662135,43,1025,2,0,0,2708901
18,42,1021,3487221,3510887,727926,44,1029,1,0,2,2708901
19,53,1074,844901,857590,517807,65,1031,1,0,4,2708901
1,72,72,2372852,2464306,2372852,0,1000,0,0,4,2365567
2,55,123,1731316,1737607,1961339,5,1002,2,4,11,2365567
3,50,165,2715298,2720121,2480825,29,1007,3,8,6,2365567
4,77,242,3310650,3353583,2226606,29,1013,1,0,7,2365567
5,46,288,4183830,4220679,2075358,28,1014,1,0,5,2365567
6,76,360,2943633,2958162,2109955,4,1014,2,4,4,2365567
7,77,433,406428,408618,746469,7,1018,2,4,4,2365567
8,42,475,5653858,5677773,960653,9,1020,1,0,1,2365567
9,95,570,460948,468428,441120,5,1022,1,0,10,2365567
10,67,637,4843779,4877476,473013,5,1025,0,0,5,2365567
11,28,665,6831360,6851643,531677,11,1031,2,0,14,2365567
12,66,731,4841953,4862035,715042,2,1034,1,0,8,2365567
13,47,778,4464069,4504866,745040,2,1038,0,0,1,2365567
14,83,861,48015,48794,283470,11,1034,2,0,9,2365567
15,32,893,6309737,6364589,335112,11,1034,0,0,5,2365567
16,41,934,5156322,5170089,497174,10,1037,2,0,10,2365567
17,60,994,1497778,1513836,412027,4,1038,1,0,1,2365567
18,48,1038,2173740,2186152,442092,19,1041,2,4,8,2365567
19,35,1073,6175331,6220610,543009,1,1037,0,0,16,2365567
1,68,68,3427332,3519907,3427332,15,1000,0,0,13,2730134
2,40,108,5894972,5931042,4242149,10,1002,1,0,5,2730134
3,45,153,4054210,4086469,3902725,13,1004,1,0,14,2730134
4,69,222,6267235,6293005,4339851,13,1005,0,0,15,2730134
5,37,259,8011624,8025354,5081162,2,1003,2,0,9,2730134
6,71,330,4195006,4222132,4757260,3,1001,1,0,2,2730134
7,56,386,2840976,2862259,4066050,3,1003,0,0,8,2730134
8,43,429,5381140,5402028,4127873,0,1003,2,0,8,2730134
9,93,518,634139,639034,2800386,2,1006,2,4,4,2730134
10,63,581,6172314,6208599,3051299,2,1007,0,0,4,2730134
11,33,614,4463702,4501370,2937428,1,1007,1,0,2,2730134
12,98,712,41569,42664,1357190,1,1007,0,0,2,2730134
13,52,764,2848295,2865002,1194771,5,1007,2,0,8,2730134
14,66,830,1547379,1573886,952260,5,1009,0,0,2,2730134
15,28,858,8144074,8196176,1204917,5,1008,0,0,2,2730134
16,65,923,524466,534832,713573,5,1010,0,0,11,2730134
17,57,980,1979556,1996998,638197,5,1010,0,0,2,2730134
18,37,1017,4724615,4761510,806678,5,1011,0,0,2,2730134
19,44,1061,2740067,2781750,747657,5,1010,0,0,3,2730134
1,76,76,1415084,1551725,1415084,20,1000,0,0,5,4114608
2,37,113,6582088,6622951,3405686,20,1001,0,0,13,4114608
3,53,162,1984774,1991670,2826124,16,1007,3,4,6,4114608
4,82,244,1847816,1890323,1989176,19,1013,1,0,5,4114608
5,34,278,8795774,8832711,3146772,6,1013,1,0,12,4114608
6,84,362,1267644,1291925,1919997,18,1016,1,0,2,4114608
7,42,404,6634934,6673992,2590947,33,1022,1,0,3,4114608
8,49,453,3193681,3241266,2262116,2,1016,0,0,8,4114608
9,81,534,2221866,2253487,1835066,3,1021,1,0,19,4114608
10,64,598,6031796,6065911,2033216,8,1021,1,0,3,4114608
11,31,629,5113096,5199469,2017127,8,1027,0,0,13,4114608
12,73,702,2870707,2897688,1813703,14,1025,2,0,3,4114608
13,57,759,1404220,1430512,1392217,11,1028,1,0,1,4114608
14,67,822,1490904,1513090,1233220,27,1026,2,4,2,4114608
15,23,845,9797868,9809038,1738070,4,1028,1,0,5,4114608
16,58,903,1420891,1448950,1298551,4,1029,0,0,2,4114608
17,40,943,6623801,6642128,1656733,7,1028,2,0,0,4114608
18,69,1012,61993,64482,927670,7,1028,0,0,9,4114608
19,49,1061,1551139,1579003,755629,0,1032,1,0,10,4114608
1,74,74,1871592,1876989,1871592,0,1000,0,0,11,98481
2,46,120,3894261,3895886,2277634,0,1002,0,0,2,98481
3,65,185,377845,378459,531104,6,1004,2,0,5,98481
4,70,255,6057126,6059080,957632,24,1007,1,0,10,98481
5,38,293,7572009,7574018,1534874,12,1006,1,0,10,98481
6,69,358,4820779,4821834,2264814,7,1004,2,4,10,98481
7,41,399,6907847,6909285,3004172,30,1005,1,0,5,98481
8,57,456,1389514,1390699,2048557,3,1001,0,0,5,98481
9,84,540,1637165,1639021,1508910,3,1008,0,0,5,98481
10,69,609,4360677,4361578,1451770,5,1009,1,0,9,98481
11,24,633,8307404,8309220,1795870,6,1016,1,0,11,98481
12,88,721,415860,416653,1011491,7,1019,1,0,2,98481
13,41,762,7234252,7235999,1265134,4,1022,1,0,3,98481
14,63,821,2594320,2594703,1270062,1,1020,3,4,11,98481
15,32,853,6625371,6627774,1406786,1,1019,1,0,3,98481
16,55,908,2009695,2010704,1139310,17,1018,1,0,2,98481
17,57,965,2057001,2057980,990508,2,1019,1,0,1,98481
18,56,1021,789039,789606,730677,2,1022,0,0,0,98481
19,38,1059,5231962,5233974,797126,1,1022,1,0,0,98481
1,63,63,4664772,4833769,4664773,0,1000,0,0,17,6119886
2,54,117,1855611,1924377,2823904,0,1000,1,0,11,6119886
3,36,153,7110292,7170163,3902725,4,1002,1,0,9,6119886
4,91,244,525129,546055,1948214,7,1002,1,0,3,6119886
5,44,288,5059489,5157387,2023056,25,1005,1,0,18,6119886
6,71,359,4195006,4250646,2152755,5,1006,1,0,15,6119886
7,66,425,1197378,1228414,1095567,5,1010,0,0,15,6119886
8,39,464,6806743,6847840,1522948,2,1015,2,0,5,6119886
9,84,548,1712619,1750162,1146375,11,1018,1,0,19,6119886
10,62,610,6487098,6578610,1404107,11,1021,0,0,5,6119886
11,13,619,10139821,10140367,2631579,0,1024,3,4,22,6119886
12,86,705,572207,592156,1678800,4,1024,1,0,4,6119886
13,46,751,5125783,5202283,1748797,2,1025,1,0,0,6119886
14,61,812,3101059,3163227,1627847,7,1022,1,0,3,6119886
15,36,848,4641019,4722172,1609645,3,1019,1,0,22,6119886
16,80,928,19265,20429,611243,12,1019,1,0,3,6119886
17,44,972,5444030,5476758,819077,85,1024,1,0,0,6119886
18,52,1024,1399212,1444972,673377,88,1028,1,0,3,6119886
19,31,1055,7680380,7803196,883390,88,1032,0,0,6,6119886
1,86,86,170883,202081,170883,5,1000,0,0,11,5363078
2,44,130,4684189,4765553,1000283,4,1001,1,0,12,5363078
3,44,174,4382822,4448105,1387198,40,1003,1,0,7,5363078
4,75,249,4060550,4161177,1455389,28,1005,1,0,4,5363078
5,39,288,7192520,7271265,2023056,21,1005,1,0,20,5363078
6,55,343,8156111,8181735,3622845,31,1006,1,0,11,5363078
7,39,382,7436468,7480636,4403929,21,1007,1,0,6,5363078
8,46,428,4107174,4175860,4194304,1,998,0,0,9,5363078
9,109,537,28667,31050,1656246,1,1001,0,0,5,5363078
10,70,607,4033066,4074791,1542878,0,1005,1,0,3,5363078
11,31,638,5370489,5443653,1528704,4,1011,1,0,14,5363078
12,74,712,2551213,2592876,1352473,0,1014,1,0,8,5363078
13,58,770,1245861,1262489,975545,0,1017,2,0,25,5363078
14,51,821,6654370,6698443,1259708,6,1018,1,0,7,5363078
15,33,854,6129430,6206666,1357865,1,1020,1,0,8,5363078
16,60,910,1212962,1236246,1073780,0,1021,2,4,-1,5363078
17,73,979,204806,214010,667539,60,1026,2,4,1,5363078
18,37,1016,4909144,4954894,838899,57,1029,1,0,18,5363078
19,37,1053,5373719,5490034,928786,57,1035,0,0,11,5363078
1,70,70,2900746,2954049,2900746,5,1000,0,0,8,1430525
2,53,123,1979072,1995267,1829113,5,1002,0,0,4,1430525
3,48,171,3122324,3139219,1679006,8,1004,1,0,5,1430525
4,74,245,4472680,4503775,1824234,30,1005,1,0,4,1430525
5,34,279,8795774,8811333,2978704,4,1003,1,0,4,1430525
6,68,347,5104954,5114900,3250903,29,1002,2,0,2,1430525
7,61,408,1978362,1986118,2251327,18,1001,1,0,9,1430525
8,52,460,2405990,2422318,1763658,6,1002,0,0,12,1430525
9,107,567,46391,47935,492483,6,1010,0,0,2,1430525
10,53,620,8804162,8809837,971456,0,1013,1,0,3,1430525
11,35,655,3608287,3626497,808790,33,1020,1,0,2,1430525
12,66,721,4904840,4914671,1011491,36,1022,2,0,17,1430525
13,50,771,3274038,3294378,938007,36,1025,0,0,3,1430525
14,65,836,1976659,1987574,775239,63,1021,2,0,3,1430525
15,30,866,7263565,7292299,936812,63,1022,0,0,2,1430525
16,57,919,1742986,1744649,820616,38,1022,3,4,3,1430525
17,58,973,1902121,1914392,796159,31,1024,2,4,2,1430525
18,32,1005,6508747,6520329,1103870,31,1026,1,0,18,1430525
19,46,1051,2310664,2329335,977970,22,1028,1,0,15,1430525
1,85,85,214514,244536,214514,0,1000,0,0,12,2718062
2,64,149,429953,439561,64975,0,1003,0,0,4,2718062
3,54,203,1717560,1738448,46664,3,1008,2,0,12,2718062
4,72,275,5300005,5349591,122404,12,1013,1,0,13,2718062
5,35,310,8532278,8566679,432438,10,1011,1,0,6,2718062
6,78,388,2302435,2326348,381185,10,1010,0,0,4,2718062
7,35,423,8416579,8428085,1219338,11,1007,2,0,26,2718062
8,34,457,8157840,8184115,1965600,11,1005,0,0,6,2718062
9,99,556,227112,236198,820000,0,1000,0,0,5,2718062
10,53,609,8707585,8725879,1442514,0,1003,0,0,11,2718062
11,17,626,9892458,9898640,2183665,1,1005,2,0,18,2718062
12,76,702,1967258,1988265,1798031,1,1005,0,0,1,2718062
13,41,743,7322430,7342209,2116861,2,1004,2,0,2,2718062
14,53,796,5760136,5799412,2348651,2,1007,0,0,12,2718062
15,48,844,935787,941799,1766771,1,1003,2,0,10,2718062
16,79,923,22665,23308,713573,1,1004,0,0,0,2718062
17,45,964,5247013,5252447,1010205,11,1003,3,4,1,2718062
18,35,999,5363529,5401728,1256810,11,1006,0,0,10,2718062
19,51,1050,1059106,1080334,992761,11,1010,0,0,10,2718062
1,76,76,1415084,1465971,1415084,10,1000,0,0,5,1226471
2,49,125,2997351,3020409,1550166,10,1003,0,0,6,1226471
3,58,183,980024,989527,638768,19,1006,1,0,3,1226471
4,74,257,4619663,4634011,816260,21,1008,2,0,8,1226471
5,35,292,8386418,8405813,1602962,21,1008,0,0,1,1226471
6,50,342,8900573,8904114,3697145,22,1006,1,0,2,1226471
7,41,383,6978504,6986980,4323422,10,1003,2,0,2,1226471
8,56,435,1702932,1708953,3671287,1,998,2,4,0,1226471
9,83,518,1873180,1883999,2800386,1,1001,1,0,6,1226471
10,76,594,2120419,2132443,2261206,1,1000,0,0,6,1226471
11,38,632,2311526,2325849,1850292,2,990,0,0,6,1226471
12,65,697,5151754,5161868,2053148,7,993,1,0,2,1226471
13,45,742,5559389,5579048,2172548,10,996,1,0,6,1226471
14,83,825,44915,45479,1116375,0,995,1,0,3,1226471
15,26,851,8878324,8893451,1472026,0,995,0,0,0,1226471
16,55,906,2051843,2058634,1195019,11,997,2,0,0,1226471
17,64,966,939844,949855,962117,89,1001,2,4,0,1226471
18,52,1018,1399212,1413300,793020,83,1007,1,0,2,1226471
19,32,1050,7582689,7595265,999317,73,1012,1,0,0,1226471
1,73,73,2126260,2342139,2126260,0,1000,0,0,5,6843213
2,34,107,7311497,7373161,4333687,0,1003,0,0,7,6843213
3,68,175,227576,235639,1290433,38,1004,2,0,6,6843213
4,87,262,956957,995652,526304,36,1009,1,0,10,6843213
5,46,308,4183830,4284541,515318,21,1008,1,0,2,6843213
6,54,362,8328149,8356742,1896102,24,1007,1,0,1,6843213
7,33,395,8755811,8789687,3323021,34,1008,1,0,7,6843213
8,45,440,4430289,4530491,3247829,0,1003,0,0,12,6843213
9,87,527,1200228,1253651,2217355,0,1008,0,0,1,6843213
10,70,593,4141950,4152733,2318934,0,1009,3,4,8,6843213
11,36,629,2990395,3122242,2017127,0,1013,0,0,-3,6843213
12,83,712,916750,938635,1363999,2,1015,2,0,1,6843213
13,52,764,2587047,2699407,1188835,2,1018,0,0,4,6843213
14,74,838,425671,438630,726084,0,1020,2,0,2,6843213
15,27,865,8532746,8673941,971995,0,1021,0,0,1,6843213
16,62,927,895058,925445,626572,0,1023,1,0,1,6843213
17,48,975,4338981,4382988,748964,0,1020,2,0,2,6843213
18,36,1011,5234149,5288537,951523,0,1021,1,0,2,6843213
19,39,1050,4810399,4889220,999317,2,1020,1,0,3,6843213
1,58,58,5703138,5756519,5703139,15,1000,0,0,16,2738427
2,63,121,539881,554261,2185508,10,1001,1,0,0,2738427
3,45,166,3932769,3959012,2255074,27,1006,0,0,3,2738427
4,52,218,8775777,8779905,4742165,35,1007,1,0,6,2738427
5,42,260,5953047,5998107,4975956,30,1007,1,0,2,2738427
6,64,324,6124306,6148806,5212843,30,1006,1,0,8,2738427
7,59,383,2335408,2351967,4311065,14,1009,1,0,14,2738427
8,50,433,3053133,3075860,3802740,14,1012,1,0,9,2738427
9,83,516,1797054,1823929,2899806,14,1016,0,0,5,2738427
10,51,567,9130506,9138042,3932786,57,1015,2,0,4,2738427
11,47,614,680425,685304,2928397,48,1020,1,0,6,2738427
12,48,662,9030963,9038153,4027827,54,1022,1,0,4,2738427
13,41,703,7234252,7268900,4339718,3,1023,1,0,16,2738427
14,62,765,2778124,2808751,3996393,1,1025,1,0,10,2738427
15,44,809,1541235,1574328,3524364,1,1024,0,0,7,2738427
16,62,871,930424,942586,2586293,21,1023,2,0,8,2738427
17,60,931,1497778,1515854,2086913,14,1030,1,0,0,2738427
18,56,987,789039,802721,1615705,14,1036,0,0,10,2738427
19,55,1042,603657,613457,1196964,0,1039,1,0,4,2738427
1,59,59,5512192,5650497,5512193,0,1000,0,0,0,6011980
2,37,96,6582088,6644462,5785558,0,1000,0,0,0,6011980
3,33,129,7834805,7887169,6389291,0,999,0,0,0,6011980
4,93,222,354385,369198,4321053,0,995,0,0,0,6011980
5,55,277,1279223,1299684,3192433,1,994,2,0,10,6011980
6,71,348,4058826,4131939,3123861,1,994,0,0,12,6011980
7,90,434,81461,81734,676694,1,998,3,4,9,6011980
8,46,480,4107174,4185917,716528,1,1005,0,0,0,6011980
9,73,553,3720363,3783003,927717,1,1007,0,0,0,6011980
10,66,619,5433832,5472528,1009588,0,1010,2,0,0,6011980
11,44,663,969109,1017487,562475,0,1014,0,0,0,6011980
12,79,742,1392012,1432325,431385,0,1015,0,0,0,6011980
13,50,792,3274038,3380312,401023,0,1016,0,0,0,6011980
14,66,858,1547379,1612641,312914,0,1017,0,0,0,6011980
15,25,883,9178616,9269659,496685,0,1016,0,0,0,6011980
16,40,923,5345520,5380030,710612,0,1014,1,0,1,6011980
17,46,969,4706590,4781290,877156,0,1016,0,0,0,6011980
18,32,1001,6300487,6397280,1195936,7,1013,0,0,10,6011980
19,36,1037,5774144,5908312,1327288,7,1017,0,0,2,6011980
1,66,66,3935101,4019666,3935101,15,1000,0,0,25,2707094
2,45,111,4202702,4244967,3723117,15,1003,0,0,9,2707094
3,40,151,5886695,5909762,4149521,28,1004,2,0,8,2707094
4,44,195,9186985,9188940,6555536,58,1007,1,0,6,2707094
5,66,261,116247,118702,4899004,52,1005,1,0,11,2707094
6,62,323,6641235,6663813,5298526,38,1007,1,0,18,2707094
7,48,371,4952204,4978254,5234003,12,1010,1,0,1,2707094
8,69,440,278903,282558,3260546,10,1010,1,0,2,2707094
9,89,529,1006914,1021673,2117692,15,1011,1,0,3,2707094
10,66,595,5371465,5394675,2203533,14,1012,1,0,11,2707094
11,23,618,8628928,8659278,2685167,5,1017,1,0,7,2707094
12,76,694,2073189,2095830,2215580,5,1020,1,0,4,2707094
13,48,742,4273854,4312901,2179479,8,1023,1,0,5,2707094
14,46,788,8146254,8160425,2770478,15,1024,1,0,17,2707094
15,48,836,908521,919334,2144746,19,1026,1,0,16,2707094
16,87,923,2698,2772,721295,7,1026,1,0,7,2707094
17,42,965,5847695,5877075,984176,7,1033,0,0,14,2707094
18,32,997,6560511,6572837,1319422,17,1036,2,0,4,2707094
19,36,1033,6045127,6076885,1454598,17,1040,1,0,9,2707094
1,74,74,1871592,1944541,1871592,10,1000,0,0,3,1822533
2,51,125,2574089,2601872,1609688,8,1001,1,0,2,1822533
3,43,168,4723506,4746380,2039192,26,1004,1,0,3,1822533
4,76,244,3533268,3556022,1926932,26,1006,0,0,5,1822533
5,38,282,7679477,7689816,2668478,25,1005,2,0,2,1822533
6,79,361,2190098,2205990,1980774,35,1002,1,0,2,1822533
7,51,408,4208536,4220937,2270619,23,1004,2,4,3,1822533
8,34,442,8308510,8320308,3117019,10,1004,1,0,6,1822533
9,85,527,1484129,1504220,2235383,1,1005,0,0,5,1822533
10,75,602,2369338,2389986,1805896,1,1007,0,0,18,1822533
11,18,620,9744766,9754137,2552014,2,1011,1,0,11,1822533
12,77,697,1906882,1919711,2060691,16,1012,2,0,4,1822533
13,43,740,6188845,6217394,2275173,16,1015,0,0,0,1822533
14,65,805,1976659,1989951,1931389,18,1012,2,0,11,1822533
15,33,838,6129430,6162827,2050144,18,1013,1,0,3,1822533
16,59,897,1256127,1267669,1504944,18,1014,0,0,3,1822533
17,44,941,5488199,5499244,1722740,68,1015,2,0,0,1822533
18,53,990,1289655,1298989,1530839,18,1016,2,4,15,1822533
19,36,1026,5774144,5808371,1667989,18,1022,0,0,18,1822533
1,77,77,1221598,1288229,1221598,5,1000,0,0,13,2271863
2,53,130,1979072,2003377,959619,5,1003,0,0,15,2271863
3,29,159,8752647,8757397,3149073,16,1004,2,0,11,2271863
4,77,236,3310650,3352131,2824852,16,1008,1,0,1,2271863
5,54,290,1442868,1461659,1821704,15,1004,1,0,15,2271863
6,70,360,4329833,4354520,2048315,15,1005,0,0,21,2271863
7,41,401,6907847,6931145,2802373,1,1006,1,0,9,2271863
8,57,458,1389514,1409111,1890448,4,1000,0,0,10,2271863
9,74,524,3705211,3707028,2415323,6,1005,3,8,5,2271863
10,58,582,7629949,7653293,2979048,6,1007,0,0,14,2271863
11,23,601,8745439,8748626,3783767,2,1008,3,4,7,2271863
12,91,692,219662,223619,2320866,2,1008,0,0,4,2271863
13,43,735,6188845,6225619,2538641,2,1013,0,0,2,2271863
14,45,780,8225047,8246281,3182075,2,1013,0,0,3,2271863
15,45,825,1505541,1513459,2684572,1,1008,2,0,10,2271863
16,49,874,3155695,3174541,2450164,1,1008,1,0,9,2271863
17,54,928,2620748,2637522,2199601,1,1011,0,0,7,2271863
18,47,975,2224564,2245598,2017958,1,1013,0,0,9,2271863
19,43,1018,3068994,3105593,1920151,1,1017,0,0,10,2271863
1,71,71,2641868,2727920,2641868,0,1000,0,0,14,2357890
2,61,132,728919,745138,812849,0,1002,1,0,13,2357890
3,34,166,7686047,7702127,2276694,13,1005,1,0,5,2357890
4,97,263,195462,198630,477706,11,1009,1,0,2,2357890
5,51,314,2282928,2309884,298910,10,1008,1,0,5,2357890
6,72,386,3788704,3813681,444766,10,1010,0,0,3,2357890
7,40,426,7244364,7258943,1053397,6,1010,2,0,9,2357890
8,38,464,7069978,7092372,1522948,1,1007,1,0,2,2357890
9,69,533,4594603,4616888,1879923,0,1001,0,0,9,2357890
10,66,599,5371465,5391944,1968009,2,1003,1,0,5,2357890
11,39,638,2016782,2044882,1528704,2,1010,0,0,5,2357890
12,65,703,5212224,5227062,1758715,18,1011,2,0,16,2357890
13,49,752,3649759,3687563,1685152,18,1013,0,0,2,2357890
14,55,807,5320001,5338789,1834730,10,1013,2,0,3,2357890
15,19,826,10210030,10210984,2633124,1,1011,1,0,0,2357890
16,51,877,2734027,2751852,2316728,0,1011,1,0,2,2357890
17,48,925,4289499,4305720,2322146,6,1010,1,0,0,2357890
18,36,961,5234149,5257370,2539782,16,1009,1,0,8,2357890
19,51,1012,1158090,1173167,2132924,6,1006,1,0,10,2357890
1,76,76,1415084,1481086,1415084,0,1000,0,0,6,1696698
2,47,123,3727130,3754560,1890551,5,1001,1,0,15,1696698
3,46,169,3615012,3629524,1902396,5,1004,0,0,13,1696698
4,71,240,5816212,5831667,2379176,2,1006,2,0,25,1696698
5,43,283,5289535,5320405,2533857,2,1009,0,0,13,1696698
6,86,369,1022819,1028692,1349824,21,1011,2,0,10,1696698
7,36,405,8039657,8052110,2475644,21,1018,0,0,9,1696698
8,55,460,1895221,1903477,1776571,4,1022,2,0,10,1696698
9,70,530,4373135,4388917,2049583,4,1027,0,0,4,1696698
10,69,599,4424537,4438007,1977539,3,1028,2,0,4,1696698
11,32,631,4914720,4940115,1913980,8,1030,1,0,-1,1696698
12,68,695,4299520,4310552,2170292,21,1027,2,4,2,1696698
13,62,757,609674,615281,1482011,0,1031,1,0,4,1696698
14,59,816,3600782,3623380,1457894,0,1033,0,0,6,1696698
15,23,839,9818580,9820971,2008568,15,1029,2,0,1,1696698
16,47,886,3622450,3638290,1941745,8,1029,1,0,3,1696698
17,45,931,5151013,5161507,2094234,31,1028,1,0,1,1696698
18,51,982,1506641,1518863,1785224,31,1029,0,0,10,1696698
19,29,1011,8328460,8351729,2168237,1,1026,0,0,13,1696698
1,80,80,710070,787566,710070,0,1000,0,0,4,3276630
2,35,115,7080599,7109340,3081330,0,1003,0,0,10,3276630
3,52,167,2168493,2192414,2157094,9,1007,2,0,0,3276630
4,70,237,6057126,6105954,2711799,3,1011,1,0,2,3276630
5,56,293,932815,957381,1511523,3,1011,0,0,0,3276630
6,59,352,7353645,7375643,2767040,3,1011,1,0,5,3276630
7,41,393,6978504,6999091,3492818,15,1008,2,0,5,3276630
8,57,446,1514277,1527294,2804003,12,1009,2,4,0,3276630
9,74,520,3613515,3641156,2674006,14,1008,1,0,6,3276630
10,69,589,4360677,4389398,2566705,26,1010,1,0,4,3276630
11,32,621,4658227,4724353,2500214,26,1015,0,0,5,3276630
12,77,698,1757484,1781663,2002677,26,1019,0,0,2,3276630
